TIMESTAMPms	M1RAWIMUxgyro	M1RAWIMUygyro	M1RAWIMUzgyro
0	2.800000000000000e+1	0.000000000000000e+0	9.000000000000000e+0
240	4.000000000000000e+0	1.000000000000000e+0	9.000000000000000e+0
480	-2.100000000000000e+1	-3.000000000000000e+0	1.000000000000000e+1
720	-2.000000000000000e+0	3.000000000000000e+0	9.000000000000000e+0
960	9.000000000000000e+0	1.200000000000000e+1	1.200000000000000e+1
1200	0.000000000000000e+0	3.000000000000000e+0	1.100000000000000e+1
1439	-4.000000000000000e+0	-7.000000000000000e+0	8.000000000000000e+0
1680	3.000000000000000e+0	-7.000000000000000e+0	9.000000000000000e+0
1920	2.000000000000000e+0	1.700000000000000e+1	1.100000000000000e+1
2160	-7.000000000000000e+0	1.700000000000000e+1	8.000000000000000e+0
2400	-9.000000000000000e+0	-1.400000000000000e+1	7.000000000000000e+0
2639	9.000000000000000e+0	-1.000000000000000e+1	9.000000000000000e+0
2880	1.100000000000000e+1	1.900000000000000e+1	9.000000000000000e+0
3120	-1.500000000000000e+1	1.000000000000000e+1	1.000000000000000e+1
3360	-1.200000000000000e+1	-6.000000000000000e+0	9.000000000000000e+0
3600	1.000000000000000e+1	-2.000000000000000e+0	1.100000000000000e+1
3840	1.400000000000000e+1	2.000000000000000e+0	1.000000000000000e+1
4080	-1.200000000000000e+1	9.000000000000000e+0	1.000000000000000e+1
4320	-9.000000000000000e+0	4.000000000000000e+0	7.000000000000000e+0
4560	2.000000000000000e+0	-5.000000000000000e+0	9.000000000000000e+0
4800	4.900000000000000e+1	-3.000000000000000e+0	1.400000000000000e+1
5040	1.000000000000000e+1	1.600000000000000e+1	-3.400000000000000e+1
5280	6.700000000000000e+1	6.300000000000000e+1	2.900000000000000e+1
5520	5.500000000000000e+1	7.800000000000000e+1	1.150000000000000e+2
5760	-9.200000000000000e+1	-5.600000000000000e+1	1.320000000000000e+2
6000	-1.520000000000000e+2	-1.600000000000000e+2	1.400000000000000e+2
6240	-9.500000000000000e+1	-5.500000000000000e+1	9.400000000000000e+1
6480	7.700000000000000e+1	9.000000000000000e+1	6.200000000000000e+1
